ID,Hylak_id,latitude,longitude,Name,Type,Country,Continent,Poly_src,Lake_type,Grand_id,Lake_area,Shore_len,Shore_dev,Vol_total,Vol_res,Vol_src,Depth_avg,Dis_avg,Res_time,Elevation,Slope_100,Wshd_area,Pour_long,Pour_lat
254,24,64.5122,-98.8248,Aberdeen, Lake,Canada,North America,CanVec,1,0,1102.61,839.04,7.1300001,34822.22,0,1,31.6000004,860.142,468.6,51,-1,150856.5,-97.924161,64.719664
8699,119045,-6.7998,-38.5835,Acude Lagia do Arroz, Reservoir,Brazil,South America,SWBD,1,0,2.14,22.71,4.3800001,10.35,0,3,4.8000002,0.752,159.3,287,2.4300001,325.2,-38.570334,-6.79944
85,159,1.6807,30.921,Albert, Lake,Uganda,Africa,SWBD,1,0,5526.92,781.9,2.97,138170.5,0,1,25,2170.649,736.7,615,-1,416660.7,31.410473,2.761442
10310,14584,39.7639,-6.6882,Alcantara, Reservoir,Spain,Europe,SWBD,2,2800,45.32,265.22,11.1099997,3162,3162,2,69.8000031,236.677,154.6,202,8.1400003,51613.5,-6.884572,39.731623
970,790,40.2596,-121.1843,Almanor, Lake,United States of America,North America,SWBD,2,138,102.87,72.18,2.01,1613.4,1613.4,2,15.6999998,15.561,1200,1370,7.6900001,1259.1,-121.087815,40.174792
1305,167757,49.1448,10.7023,Altmuehl, Lake,Germany,Europe,SWBD,2,3268,3.91,17.43,2.49,13.9,13.9,2,3.5999999,4.928,32.6,413,0.32,629.9,10.73529,49.127014
10321,9622,27.879,-109.8455,Alvaro Obregón, Reservoir,Mexico,North America,SWBD,2,686,74.84,137.28,4.48,3240,3240,2,43.2999992,83.668,448.2,70,2.4400001,70604.6,-109.896658,27.824336
207,866,16.0889,-92.5138,Angostura, Lake,Mexico,North America,SWBD,2,1391,566.28,761.85,9.0299997,9200,9200,2,16.2000008,334.529,318.3,525,-1,18330.8,-92.778548,16.400684
10297,14403,42.6109,-1.1124,Aragón, Lake,Spain,Europe,SWBD,2,2684,15.54,36.6,2.6199999,446.9,446.9,2,28.7999992,66.214,78.1,485,5.48,2186,-1.180868,42.6152
182,90,-50.2408,-72.3985,Argentino, Lake,Argentina,South America,SWBD,1,0,1319.94,687.14,5.3400002,219900,0,1,166.6000061,210.172,12109.8,179,-1,9811.2,-71.977997,-50.230352
62,1632,-16.2793,128.79,Argyle, Lake,Australia,Oceania,SWBD,2,6201,829.36,633.01,6.1999998,10800,10800,2,13,315.959,395.6,87,-1,45578.6,128.741169,-16.118249
111,1365,35.958,38.2571,Assad, Lake,Syria,Asia,SWBD,2,4464,636.77,407.66,4.5599999,11600,11600,2,18.2000008,733.186,183.1,302,-1,111397.5,38.558518,35.855204
112,1348,37.5794,38.5648,Atatürk, Lake,Turkey,Asia,GRanD,2,4442,695.05,1461.01,15.6300001,48700,48700,2,70.0999985,701.683,803.3,530,-1,91564.6,38.322917,37.485417
100,33,59.2827,-109.4897,Athabasca, Lake,Canada,North America,CanVec,1,0,7528.73,2540.35,8.2600002,155400,0,1,20.6000004,1196.006,1503.8,207,-1,291489.3,-111.200512,58.704508
224,138,40.8914,66.893,Aydar, Lake,Uzbekistan,Asia,SWBD,1,0,2742.41,2903.2,15.6400003,44300,0,1,16.2000008,0,-1,241,-1,20310.3,67.796971,40.868651
10299,904,-3.2193,-62.7983,Badajós, Lake,Brazil,South America,SWBD,1,0,159.74,199.42,4.4499998,2843.45,0,3,17.7999992,257.747,127.7,17,2.8699999,6246.5,-62.678727,-3.417869
943,1545,11.56,-0.752,Bagre, Reservoir,Burkina Faso,Africa,SWBD,2,3014,167.87,307.88,6.6999998,1700,1700,2,10.1000004,53.345,368.8,233,0.91,35476.6,-0.553016,11.47429
37,11,52.8467,107.2684,Baikal, Lake,Russia,Europe,SWBD,3,5058,31967.85,2688.05,4.2399998,23615000,46000,1,738.7000122,1997.895,136804.9,449,-1,569176.2,104.321875,52.234393
268,25,64.1727,-95.3682,Baker,Unkownn,Canada,North America,CanVec,1,0,1664.7,896.5,6.1999998,99882,0,1,60,1646.452,702.1,2,-1,244118.8,-94.186458,64.05625
92,1251,46.847,17.7182,Balaton, Lake,Hungary,Europe,SWBD,1,0,577.21,203.94,2.3900001,1900,0,1,3.3,21.474,1024.1,100,-1,5746.8,18.044567,46.911659
